lat,lng,value
6,159,0.001
30,99,0.002
45,-109,0.001
42,115,0.006
4,-54,0
-16,-67,0.018
21,-103,0.006
-20,-64,0.004
-40,-69,0.001
32,64,0.001
28,67,0.008
8,22,0
-15,133,0
-16,20,0
55,42,0.006
32,-81,0.011
31,36,0.098
9,80,0.013
42,-91,0.007
19,54,0.001
21,111,0.186
-3,-51,0.001
33,119,0.164
65,21,0.001
46,49,0.01
43,77,0.041
45,130,0.018
4,119,0.007
22,59,0.003
9,-82,0.003
46,-60,0.002
-14,15,0.008
-15,-76,0.001
57,15,0.007
52,9,0.06
10,120,0.005
24,87,0.168
0,-51,0.008
-5,123,0.018
-24,-53,0.009
-28,-58,0.018
43,0,0.019
24,70,0.029
-9,33,0.016
20,73,0.046
13,104,0.046
43,41,0.009
23,78,0.115
20,-72,0.001
38,-4,0.006
0,-77,0.02
-9,-35,0.062
25,109,0.036
-13,34,0.018
61,18,0.001
58,40,0.002
34,50,0.03
49,88,0
48,-99,0.001
-42,176,0.002
20,86,0.178
-18,30,0.009
53,44,0.006
29,18,0.001
5,16,0.004
49,-74,0
48,131,0.006
14,121,0.272
63,19,0.001
40,54,0.001
36,57,0.005
16,52,0
50,128,0.01
39,30,0.026
54,12,0.007
16,-61,0.012
27,80,0.237
29,101,0.002
14,78,0.075
7,13,0.003
41,125,0.025
-17,23,0.002
54,27,0.009
30,29,0.001
41,142,0.003
12,124,0.029
41,43,0.013
18,98,0.004
36,117,0.203
17,33,0.004
32,109,0.047
-7,23,0.015
27,-101,0.005
45,-73,0.128
21,-83,0
55,-131,0.001
52,105,0.024
-40,-65,0
32,36,0.132
31,7,0.001
32,-109,0.001
31,120,0.209
9,124,0.046
46,-2,0.001
-2,-50,0.003
18,-13,0.001
42,28,0.015
4,99,0.009
19,-77,0.003
18,38,0.008
33,4,0.006
-5,-75,0
-14,51,0.001
-15,-48,0.002
57,-5,0
52,37,0.017
13,38,0.017
-10,-41,0.002
-11,36,0.008
-18,-71,0.004
-20,27,0.002
56,89,0.001
33,-94,0.007
44,15,0.001
43,-4,0.006
20,37,0
-4,27,0.009
47,8,0.078
44,-98,0.001
23,114,0.481
38,24,0.061
14,10,0.008
10,-3,0.01
47,89,0.002
-34,152,0.087
38,-121,0.073
14,25,0.002
29,5,0.001
-9,-78,0.019
20,98,0.021
-19,-39,0.004
53,0,0.048
-23,150,0
49,1,0.029
48,40,0.044
38,97,0.001
35,-99,0.001
16,1,0.004
53,-115,0
48,119,0.001
29,-85,0
63,39,0.001
40,26,0.002
16,40,0.002
11,120,0.002
-8,14,0.003
26,-98,0.024
-12,-47,0.001
-32,28,0.011
40,-87,0.006
36,-76,0.04
17,82,0.057
50,19,0.091
12,-70,0.002
27,108,0.078
7,49,0.003
41,105,0
3,46,0.006
-16,168,0.001
-21,56,0.005
51,83,0.002
50,-122,0
30,9,0.001
7,-62,0.002
41,-6,0.004
-17,-52,0.001
-38,-58,0.003
-6,13,0.02
45,6,0.05
60,59,0
41,-121,0
17,-3,0.001
-6,-64,0
-7,35,0.003
-26,-61,0.001
41,-104,0.003
51,30,0.004
32,-8,0.046
27,40,0.002
4,33,0.003
21,98,0.01
-1,122,0.002
32,-89,0.006
31,92,0.001
46,42,0.008
8,-83,0.003
22,36,0
19,30,0.001
-10,-64,0.003
-2,22,0.002
-5,40,0.04
69,20,0.001
37,35,0.025
-2,133,0.002
10,93,0.001
-10,36,0.01
-14,-41,0.006
-34,22,0.001
56,46,0.003
37,-108,0.001
52,49,0.003
13,10,0.022
46,91,0.001
-11,24,0.003
-34,-59,0.006
56,93,0.025
-38,-60,0.002
-30,-57,0.004
47,27,0.037
44,11,0.058
-33,-65,0.002
19,106,0.128
-23,-45,0.034
-24,34,0.001
58,45,0.001
20,-96,0.004
35,78,0.002
-38,150,0
34,39,0.005
15,27,0.001
10,33,0.003
47,109,0
-9,118,0.013
38,-93,0.005
34,-6,0.051
15,-84,0.001
49,16,0.022
25,38,0.002
2,39,0.001
1,28,0.005
16,102,0.028
6,122,0.01
68,65,0
49,-99,0.002
48,76,0
26,96,0.009
40,111,0.045
2,-70,0
38,125,0.004
16,-11,0.004
50,85,0.001
12,-8,0.042
63,75,0.001
-31,28,0.012
-20,-49,0.004
40,-2,0.002
36,1,0.016
35,26,0.01
-31,-55,0.005
6,-67,0.001
3,9,0.004
40,-115,0.001
39,102,0
54,68,0.002
50,55,0.001
30,54,0.005
26,49,0.002
60,-135,0.001
6,48,0.004
3,26,0.003
51,111,0.001
12,101,0.007
45,25,0.024
-3,13,0.002
-7,-46,0.002
30,88,0.001
-27,27,0.016
42,144,0.007
60,23,0.012
32,101,0.002
31,-114,0.004
28,40,0.002
8,-13,0.03
-30,-66,0.003
55,69,0.002
51,74,0.001
-3,115,0.015
31,63,0.001
28,-105,0.008
27,68,0.059
42,-78,0.035
22,-83,0.021
21,86,0.064
-1,14,0.001
-2,-57,0
-5,-45,0.007
32,-117,0.063
43,120,0.01
45,93,0
55,103,0.001
-2,34,0.015
-25,25,0.001
57,70,0
37,55,0.013
33,60,0.004
28,100,0.004
9,34,0.005
-9,24,0.003
-4,120,0.047
22,122,0.002
37,-88,0.008
8,101,0.012
46,119,0.001
43,-93,0.005
-11,124,0.017
0,41,0.005
-23,34,0.001
-5,143,0.003
47,47,0.001
43,52,0.006
24,-110,0.003
23,73,0.233
1,105,0.026
-4,-45,0.011
11,35,0.006
14,45,0.072
25,84,0.322
-13,21,0.001
58,17,0.007
37,123,0.051
34,75,0.093
-4,130,0.003
11,-12,0.024
48,-118,0.001
10,21,0.001
5,-58,0.001
1,-57,0
53,71,0.002
49,76,0.001
29,45,0.002
14,18,0.001
25,50,0.002
2,11,0.007
-18,-46,0.003
-19,33,0.019
49,-103,0.001
-8,-72,0.001
-12,-69,0.001
25,-97,0.023
40,83,0.002
39,-88,0.009
50,121,0.001
12,20,0.002
-7,114,0.027
14,107,0.004
-37,149,0.001
62,130,0.003
59,36,0.001
39,57,0.001
36,-99,0.001
35,54,0.006
30,-89,0.015
-8,-42,0.003
7,40,0.047
-17,34,0.01
54,32,0.015
-4,-50,0.001
30,66,0.001
26,69,0.078
7,-7,0.023
-20,34,0.019
-3,-60,0.037
-19,-44,0.004
-26,25,0.002
-27,-54,0.008
21,75,0.087
30,100,0.002
42,116,0.005
4,-53,0
-16,-66,0.001
21,-100,0.016
-20,-63,0.001
-40,-68,0.002
32,73,0.094
28,68,0.018
-16,13,0.001
-5,-41,0.006
55,41,0.007
32,-80,0.014
31,35,0.103
9,79,0.135
42,-90,0.007
19,53,0.002
-2,-45,0.004
65,24,0
46,50,0.001
43,84,0.008
45,129,0.024
4,120,0.003
22,60,0.004
9,-83,0.028
46,-63,0.003
-14,16,0.016
52,10,0.064
24,88,0.204
0,-50,0.004
34,126,0.001
-5,122,0.008
-24,-52,0.016
-28,-57,0.002
43,-1,0.024
24,71,0.014
58,83,0.002
20,74,0.125
-1,11,0.001
13,103,0.031
43,16,0.004
23,77,0.08
38,-7,0.009
0,-76,0.008
47,100,0
25,112,0.073
-13,33,0.006
61,17,0.003
58,37,0.002
34,47,0.028
49,87,0.001
48,-98,0.001
20,87,0.188
-33,-56,0.002
-18,35,0.006
53,43,0.005
29,17,0.001
5,15,0.003
48,132,0.001
-19,178,0.001
63,18,0.001
36,58,0.01
16,45,0.017
50,125,0.001
39,29,0.033
54,9,0.005
-55,-66,0.001
27,79,0.311
29,104,0.111
41,128,0.013
-17,22,0
54,28,0.009
53,95,0
30,30,0.021
41,141,0.016
-21,-53,0
64,29,0.001
41,30,0.111
18,95,0.015
36,118,0.278
17,36,0.003
32,110,0.04
-7,26,0.006
27,-102,0
45,-78,0
41,-69,0.001
21,-80,0.001
52,106,0.001
31,6,0.001
-16,49,0.009
32,-108,0.001
31,119,0.238
9,123,0.026
46,3,0.009
18,-12,0.001
6,-8,0.025
66,15,0.001
6,117,0.013
42,25,0.031
18,35,0.001
33,3,0.004
14,40,0.035
-15,-49,0.004
22,103,0.012
52,38,0.007
13,37,0.006
47,-91,0.001
-10,-40,0.014
-11,35,0.011
56,90,0.002
33,-95,0.005
44,16,0.011
43,-5,0.031
58,103,0.004
-4,28,0.006
-10,161,0.002
47,7,0.029
44,-97,0.002
-13,-44,0.003
23,113,0.154
38,21,0.003
14,-1,0.006
10,-2,0.016
47,88,0.003
38,-120,0.007
6,39,0.113
14,26,0.001
29,8,0.001
-9,-79,0.019
20,99,0.004
53,-1,0.157
49,4,0.023
48,17,0.082
40,140,0.001
38,98,0.001
35,-92,0.006
16,2,0.001
53,-112,0.002
12,-3,0.016
48,120,0.002
29,-90,0.031
40,27,0.012
16,17,0
-8,15,0.007
-12,-46,0.001
40,-86,0.017
39,129,0.001
17,81,0.079
50,20,0.092
12,-69,0.003
27,107,0.114
7,48,0.004
41,108,0.017
3,45,0.006
51,82,0.009
50,-125,0.001
-15,50,0.012
30,10,0.001
7,-63,0.006
41,-7,0.015
-17,-53,0.001
-6,14,0.032
30,121,0.338
23,96,0.024
45,5,0.086
60,60,0.002
-4,-41,0.01
17,0,0.001
-6,-67,0
28,13,0.001
-26,-60,0.001
41,-105,0.001
-8,132,0.002
51,29,0.006
32,1,0.001
27,39,0.002
4,34,0.003
21,97,0.05
-1,121,0.004
-3,-42,0.003
32,-88,0.005
46,31,0.054
8,-82,0.016
19,29,0.001
-2,27,0.003
-5,39,0.029
69,19,0.001
57,105,0
37,30,0.021
-2,134,0.002
-10,33,0.009
-14,-40,0.008
-34,27,0.005
56,47,0.004
52,50,0.005
13,9,0.042
47,-55,0.001
9,6,0.017
46,92,0
-11,23,0.003
-14,-57,0.001
-4,134,0.001
-34,-58,0.004
56,94,0.004
-38,-63,0.001
47,26,0.016
44,12,0.057
19,105,0.01
-8,142,0.001
-24,35,0.003
58,46,0.002
38,49,0.034
35,77,0.011
37,98,0.001
34,40,0.006
15,26,0.001
10,34,0.004
47,124,0.051
-33,30,0.001
38,-92,0.01
-8,139,0
15,-85,0.006
49,15,0.024
2,40,0.002
1,27,0.001
16,103,0.065
-22,34,0.002
49,-96,0.003
26,93,0.155
25,-106,0.001
40,112,0.05
2,-73,0.001
1,12,0.004
38,126,0.132
16,-10,0.002
50,86,0
12,-7,0.016
-31,27,0.002
40,-1,0.003
36,2,0.034
35,25,0.007
-7,150,0.001
-31,-52,0.005
6,-66,0.001
45,-120,0
39,101,0.017
54,65,0.002
50,56,0.001
30,59,0.005
26,50,0.002
6,45,0.002
3,25,0.002
17,-66,0.004
-21,19,0.001
51,110,0.001
12,102,0.023
45,28,0.033
-25,-64,0.005
-3,16,0.001
-7,-47,0.004
45,-87,0.004
42,141,0.009
60,24,0.005
-29,-67,0.001
17,-4,0.001
32,102,0.002
31,-115,0.013
28,41,0.002
8,-12,0.029
55,68,0.002
51,73,0.001
31,62,0.007
28,-104,0.001
27,67,0.006
42,-81,0.013
4,-2,0.003
22,-82,0.025
21,85,0.055
-1,13,0.001
-39,-62,0.009
-2,-56,0.001
-5,-46,0.004
32,-116,0.055
46,75,0.003
43,119,0.009
55,102,0.001
-8,-76,0.004
-25,24,0.002
5,9,0.036
57,69,0
37,66,0.006
33,59,0.002
28,101,0.003
9,33,0.006
-15,39,0.008
37,-89,0.009
46,120,0.001
43,-94,0.003
-11,123,0.001
0,42,0.002
-23,33,0.001
-5,142,0.002
47,46,0.001
23,72,0.036
-4,-44,0.012
11,34,0.006
-9,-41,0.002
25,83,0.377
-13,28,0.013
58,18,0.002
35,121,0.006
37,118,0.165
34,76,0.02
-4,131,0.002
49,94,0
11,-13,0.008
48,-117,0.002
10,22,0.001
-32,153,0.004
53,50,0.025
49,75,0.001
29,48,0.026
5,122,0.007
25,49,0.002
-2,105,0.004
2,12,0.006
-19,36,0.004
68,30,0
49,-100,0.001
48,105,0.001
26,129,0.002
-12,-68,0.001
40,84,0.002
39,-89,0.011
36,15,0.011
50,122,0.003
12,21,0.003
-7,113,0.03
18,123,0.003
59,35,0.001
39,56,0.001
36,-98,0.001
35,53,0.01
30,-88,0.021
-8,-41,0.006
7,39,0.087
-17,33,0.007
54,29,0.018
-55,-68,0.001
30,23,0
26,70,0.037
7,-8,0.022
6,73,0
22,98,0.014
-3,-61,0.001
-26,26,0.018
-27,-55,0.009
45,64,0
60,5,0.001
41,65,0.003
21,70,0.025
30,97,0.001
42,113,0.002
4,-52,0.003
-16,-65,0.001
21,-101,0.052
-20,-62,0
-41,-62,0
32,74,0.179
28,69,0.058
8,24,0.001
-16,14,0.004
55,40,0.013
31,34,0.004
-15,26,0.002
21,121,0.001
33,121,0.112
-6,151,0.002
65,23,0.001
43,83,0.009
45,132,0.032
22,57,0.002
6,2,0.091
9,-80,0.001
46,-62,0.001
-14,13,0.002
-15,-74,0.002
57,17,0.003
52,11,0.052
-43,172,0.001
24,81,0.072
-5,121,0.029
-24,-59,0
-28,-56,0.004
43,-2,0.042
24,72,0.047
58,84,0
20,75,0.111
-28,23,0.001
23,108,0.064
38,-6,0.013
14,-92,0.018
47,99,0
25,111,0.081
58,38,0.002
-46,169,0.001
34,48,0.039
49,90,0.001
48,-97,0.001
-18,36,0.013
53,38,0.009
44,113,0
5,26,0.001
48,125,0.02
63,17,0.001
40,56,0
36,59,0.016
35,8,0.021
16,46,0.003
50,126,0.005
39,28,0.037
54,10,0.029
27,78,0.233
29,103,0.032
41,127,0.037
-17,21,0
54,25,0.012
53,106,0.001
30,35,0.007
6,37,0.019
64,30,0
41,29,0.206
18,96,0.067
36,119,0.193
17,35,0.004
32,111,0.059
-7,25,0.018
45,-79,0.002
41,-82,0.016
52,107,0.001
51,24,0.016
31,5,0.001
-13,-43,0.003
-16,50,0.008
55,12,0.015
32,-115,0.014
31,118,0.203
46,4,0.013
42,-121,0.002
18,-15,0.015
-6,123,0.014
66,16,0
-44,-74,0
42,26,0.023
18,36,0.001
-1,-74,0
33,6,0.003
-5,-69,0.001
-14,49,0.007
-15,-46,0.002
22,104,0.023
37,-6,0.027
52,39,0.01
13,40,0.036
-10,-43,0.002
24,117,0.091
-33,118,0
56,91,0.008
33,-92,0.004
44,17,0.022
43,-6,0.005
-4,29,0.025
47,6,0.02
44,-96,0.002
-13,-45,0.002
23,112,0.078
38,22,0.016
35,104,0.071
14,0,0.007
10,11,0.026
47,87,0.002
38,-123,0.001
49,118,0.007
29,7,0.001
20,100,0.017
53,10,0.062
